fin	feature	left_context	kwic	right_context
kér	inf_form		Szeretnék egy kis segítséget kérni	.
kér	inf_form		Szeretnék kérni	egy pirospontot nothing187 -nek ezért az üzletért.
kér	inf_form		Szeretnék egy kis segítséget kérni	.
kér	inf_form		Szeretném segítségeteket kérni	.
kér	inf_form		Szeretném a segítségeteket kérni	.
kér	inf_form		Szeretnék segítséget kérni	.
kér	inf_form		Szeretném a segítségeteket kérni	.
kér	inf_form		Szerettem volna bocsánatot kérni	.
kér	inf_form		Szeretnék egy kis segítséget kérni	a rootolással kapcsolatban.
kér	inf_form		Lehet kérni	fennmaradási engedélyt.
kér	inf_form		Kérni fogjuk	az anyagi támogatásotokat.
kér	inf_form		Szeretnék kérni	az MSI HD7850 üzletért DonCapello üzlettársnak egy nagy pirosat.
kér	inf_form		Szeretnék kérni	egy pirosat jilian fórumtársnak ezt vettem tőle.
kér	inf_form		Szeretnék segítséget kérni	.
kér	inf_form		Szeretnék segítséget kérni	Tőletek.
kér	inf_form		Szeretnék egy kis segítséget kérni	.
kér	inf_form		Szeretnénk Önt kérni	hogy had kapjuk vissza ezt az érzést ami akkor volt.
kér	inf_form		Lehet hozzá nemzetközi zöld kártyát is kérni	.
kér	inf_form		Próbáltam Terminal alól kérni	dumpsys alam kimenetet.
kér	inf_form		Szeretnék kérni	egy karaktert.
kér	inf_form		Szeretném a segítségeteket kérni	.
kér	inf_form		Szeretnék kérni	egy pár határozást.
kér	inf_form		Szeretném a segítségeteket kérni	az alábbi problémával kapcsolatban: Frissen telepített Win7 Ultimate/64 bit rendszerre felraktam a Comodo Internet Security legfrissebb verzióját.
kér	inf_form		Tudsz tőle kérni	ajánlatot.
kér	inf_form		Szeretnék egy hatalmas PIROSAT kérni	ffie kollégának ezért az üzletért.
kér	inf_form		Szeretnék kérni	egy árazást az alábbi konfigra: Alaplap: ASUS P7P55D-PRO Proci: Intel i7-860 Procihűtő: Corsair H100i ( garis ) memoria: 2 * 2 GB Kingmax DDR3 1333MHZ kit ( garis ) 2 GB Kingmax DDR3 1333MHZ 2 GB Kingmax DDR3 1333MHZ merevlemez: WD WD1600AAJS-00D1A0 160 GB SSD: Samsung 830 series 64 GB ( garis ) VGA: Sapphire 7950 Flex Edition 3GB ( garis ) Ház: Cooler Master CM 690 Táp: Chieftec CFT 700 14CS Ventillátor vezérlő: Scythe Kazemaster PRO 6 csatornás Billentyű Genius KB G235 Egér Cyborg R.A.T 7 Monitor: Benq G2420 HDB dvi d-sub csatlakozó.
kér	inf_form		Szeretném kérni	anyukák segítségét.
kér	inf_form		Szeretnék kis segítséget kérni	.
kér	inf_form		Nincs jogunk ezt kérni	vagy rátok erőltetni.
kér	inf_form		Szeretném a segítségeteket kérni	.
kér	inf_form		Érdeklődni és képet kérni	nála: Daniel Sieve AUDI A3 2.0 PD TDI F1VÁLTÓ.NAVI.TEMPOMAT.
kér	inf_form		Kérni kell	.
kér	inf_form		Kérnem kell	.
kér	inf_form	-	Szeretnék még egy ( utolsó ) sört kérni	.
kér	inf_form		Szeretnék kérni	egy piros pontot Syd2012 kollegának ezért a remek alaplapért.
kér	inf_form	-	Szeretnék bocsánatot kérni	a kirohanásom miatt.
kér	inf_form		Szeretnék egy kis segítséget kérni	.
kér	inf_form		Szeretnék egy piros pontot kérni	Overlocker kollégának egy kiváló tápért.
kér	inf_form		Szeretnék kérni	ajánlást kernelre.
kér	inf_form		Szeretném a segítségeteket kérni	.
kér	inf_form		Szeretném a segítségeteket kérni	.
kér	inf_form		Szeretnék kérni	egy pirosat politomi -nak a prociért.
kér	inf_form		Szeretnék kérni	egy piros pontot Benjo fórumtársnak Ezért az üzletért.
kér	inf_form		Szeretnék egy kis segítséget kérni	.
kér	inf_form		Szeretném kérni	ezt a mintát.
kér	inf_form		Nincs miért elnézést kérned	tőlem csak elmondtad a véleményed és ennek örülök.
kér	inf_form		Kénytelen vagyok újra nyilvánosan bocsánatot kérni	.
kér	inf_form		Szeretnék pár nap türelmet kérni	.
kér	inf_form		Szeretném a segítségeteket kérni	.
kér	inf_form		Szeretném kérni	a swedish house maffiától a dont you worry childot.
kér	inf_form		Szeretném kérni	Plastikhead feat.
kér	inf_form		Szeretnék segítséget kérni	a Google által alkalmazott tracking cookie-k letiltásával kapcsolatban.
kér	inf_form		Szeretném a segítségeteket kérni	.
kér	inf_form		Szeretnék segitséget kérni	a reklámok és a játékok letiltásához.
kér	inf_form		Szeretnék mindenkit meg kérni	arra h.osszátok meg a kérésemet..
kér	inf_form		Szeretnék segítséget kérni	.
kér	inf_form		Szeretnék kérni	javítással kapcsolatos szakirodalmat.
kér	inf_form		Szeretném a segítségeteket kérni	a következő probléma megoldásához.
kér	inf_form		Szeretnék elnézést kérni	a trágár kifejezésekért.
kér	inf_form		Szeretnék tőled tanácsot kérni	.
kér	inf_form		Szeretnék kérni	mindenkit akinek van gyerek méretű 28-40 még használható cipője és szeretné ha elvinnénk Tanzániába árváknak jelezze nekem.
kér	inf_form		Szeretném segítségüket kérni	ebben az ügyben ugyanis szükségem lenne a választott készülékre.
kér	inf_form		Szeretnék egy kis segítséget kérni	.
kér	inf_form		Szeretném kérni	a Groovehouse-tól a “ Vándor “ című számot és küldöm mindenkinek aki szeretni...
kér	inf_form		Szeretném a segítségeteket kérni	.
kér	inf_form		Szeretnék kérni	erre egy árat...
kér	inf_form		Szeretnék kérni	kisÁdi -nak egy pirosat iPhone tokért.
kér	inf_form		Szeretnék egy kis segitséget kérni	.
kér	inf_form		Szeretném a segítségüket kérni	szakdolgozati munkámhoz.
kér	inf_form		Szeretnék egy szívességet kérni	....
kér	inf_form		Szeretném a segítségeteket kérni	.
kér	inf_form		Szeretnék tanácsot kérni	: egy aspire one netbook-ot kéne linuxosítanom.
kér	inf_form		Ér segítséget kérni	Zsolttól.
kér	inf_form		Kell tőlük kérni	.
kér	inf_form		Szeretnék egy kis segítséget kérni	.
kér	inf_form		Szeretnék tanácsot kérni	a következő esetben: Édesanyám halála után rám szállt az ő anyai öröksége ami egy telek rész Kerepesen.
kér	inf_form		Lehetőséged van ingyenes kalkulációt kérni	.
kér	inf_form		Szeretném a segítségeteket kérni	.
kér	inf_form		Szeretnék segítséget kérni	csoki selyemakáccal kapcsolatban.
kér	inf_form		Szeretnék egy kis segítséget kérni	egy LG 47LN575S tv-ről.
kér	inf_form		Muszáj számlát kérnem	még akkor is ha csak 5 kilót vásárolok....
kér	inf_form		Szeretném a segítségeteket kérni	.
kér	inf_form		Szeretnék egy beárazást kérni	a következő notebook-ra.
kér	inf_form		Szeretnénk az elnézésed kérni	.
kér	inf_form		Szeretném a segítségeteket kérni	egy ebbel kapcsolatban.
kér	inf_form		Szeretnék elnézést kérni	a kihagyott meccsekért és edzésekért.
kér	inf_form		Lehet időt kérni	.
kér	inf_form		Szeretnék segítséget kérni	tőletek.
kér	inf_form		Szeretnék tanácsot kérni	.
kér	inf_form		Képek is vannak lehet kérni	.
kér	inf_form		Szeretnék bocsánatot kérni	minden hibámért.
kér	inf_form		Lehet kérni	( ahol lehet ).
kér	inf_form		Szeretnék egy kis segítséget kérni	.
kér	inf_form		Szeretnék segítséget kérni	egy noti vásárlásban.
kér	inf_form		Szeretném a segítségét kérni	babaápolási termékekkel kapcsolatban.
kér	inf_form		Szeretnék kérni	egy személyes találkozót amikor és ahol Önnek megfelelő lenne.
kér	inf_form		Szeretnék segítséget kérni	valakitől.
kér	inf_form		Szeretnék egy kis segítséget kérni	.
kér	inf_form		Szeretnék beárazást kérni	erre a notebookra.
kér	inf_form		Szeretnék 1 kis segítséget kérni	Tóni bácsi számára.
kér	inf_form		Szeretném a segítségeteket kérni	.
kér	inf_form		Megszeretnélek kérni	titeket hogy HA TETSZIK létszíves írjatok KOMMENTET hogy tudjam jól csinálom e amit csinálok:) Előr...
kér	inf_form		Szeretnék egy kis segítséget kérni	.
kér	inf_form		Szeretném a segítségetek kérni	lábbeli témában.
kér	inf_form		Szeretnék kérni	egy Recoveryt ha lehetséges.
kér	inf_form		Szeretném kérni	James Arthur Impossible cimű zenét.
kér	inf_form		Szeretném kérni	Üllésre Robinak és üzenem hogy nagyon szeretem és nagyon hiányzik és alig várom hogy ujbol lássalak.
kér	inf_form		Szeretnék kérni	egy pörgős számot annak a két úrnak és hölgynek akik segítettek nekünk a kocsit tolni + azoknak akik ledudáltak minket.
kér	inf_form		Szeretnék tőletek tanácsot kérni	.
kér	inf_form		Szeretnék segítséget kérni	.
kér	inf_form		Szeretnék kérni	egy eladó CD listát az adatlapomon szereplő email címre.
kér	inf_form		Szeretnék segítséget kérni	mivel jön a karácson úgy gondolom ez az öt családi ház udvarán tartott kutyus is megérdemelne egy kis segítséget a gazdája nagyon nehéz anyagi helyzetben van.
kér	inf_form		Tudok bocsánatot kérni	és azt gondolom ha megbántanak tudnia kéne másnak is bocsánatot kérnie..
kér	inf_form		Szeretném segítségeteket kérni	ebben a feladatban.
kér	inf_form		Szeretnék tőletek segítséget kérni	.
kér	inf_form		Szeretnék segítséget kérni	a kutyusnak.
kér	inf_form		Lehet mesét kérni	üzibe.
kér	inf_form		Szeretnék UNbant kérni	a furien3 szerveren ha lehetséges.
kér	inf_form	-	Kérni szeretném	.
kér	inf_form		Lehet hozzá kérni	polipot is.
kér	inf_form	“	Szeretnék elnézést kérni	Magyarországtól a félreértelmezhető és félreértett mondataim miatt.
kér	inf_form		Szeretném tehát a dombóváriak támogatását is kérni	.
kér	inf_form		Kérni kell	a szolgálati titok alóli felmentést is.
kér	FIN INF		Kérjük a pápai vörösőrséget utasítani	.
kér	FIN INF	-	Kérném szépen a politikai biztos nevét közölni	...
kér	FIN INF		Kérem nekem számolni	.
kér	FIN INF		Kérem nekem számolni	.
kér	FIN INF		Kérem nekem számolni	.
kér	FIN INF		Kérem jelenteni	ő császári és királyi felségének: a talaj tökéletesen elő van készítve.
kér	FIN INF		Kérem jelenteni	ő császári és királyi felségének: a talaj tökéletesen elő van készítve.
kér	FIN INF		Kérek enni	.
kér	FIN INF		Kérem szövegüket valamelyest figyelembe venni	.
kér	FIN INF		Kérem tudomásul venni	.
kér	FIN INF		Kérem szépen majd figyelemmel lenni	erre a módosító javaslatunkra is.
kér	FIN INF		Kérem tehát ismételten törölni	a táblát.
kér	FIN INF		Kérem majd ezt jegyezni	a kollégák részéről.
kér	FIN INF		Kérem ezt majd jelezni	a táblán.
kér	FIN INF		Kérem tiszteletben tartani	a Házszabályt és az idevonatkozó rendelkezéseit.
kér	FIN INF		Kérem ezt jelezni	a monitoron.
kér	FIN INF		Kérem Hanó úr nevét törölni	.
kér	FIN INF		Kérem Horváth Zsolt úr nevét törölni	a kétpercesek közül.
kér	FIN INF		Kérem törölni	a nevüket a monitorról.
kér	FIN INF		Kérem a gépből törölni	a képviselő úr jelentkezését.
kér	FIN INF		Kérem a képviselő úr nevét törölni	a monitorról.
kér	FIN INF		Kérek intézkedni	a minisztérium képviselője jelenlétének biztosításáról.
kér	FIN INF		Kérném szépen a részletes feltételekről emilezni	.
kér	FIN INF		Kérem minden érintett tudomására hozni	.
kér	FIN INF		Kérem gondosan gyelni	a versenyszabályok betartására.
kér	FIN INF		Kérem a pontomat is szigorúan titkosan kezelni	...
kér	FIN INF		Kérem ezt a számot összehasonlitani	az ISM elott álló szolgálati gépkocsik összárával és azután egy jó nagyot szégyelni magunkat.
kér	FIN INF		Kérem pontosítani	.
kér	FIN INF		Kérjük a javaslatban foglaltak végrehajtását engedélyezni	.
kér	FIN INF		Kérlek segítsetek új gazdit találni	.
kér	FIN INF		Kérjük a hajléktalanoknak szállót bíztosítani	.
kér	FIN INF		Kérnék valami jó hűtőt ajánlani	hozzá.
kér	FIN INF		Kérlek segítsetek szólni	a nyerteseknek.
kér	FIN INF		Kérjük a plakátot osztani	és mindenkit szeretettel várunk szeptember 15.-én a Zöld Pardonban.
kér	FIN INF		Kérem figyelembe venni	ezt a vásárláskor.
kér	FIN INF		Kérünk minden gyermek-verseskötet adományi felajánlást a gyermekvers@yahoo.com email címen jelezni	számunkra.
kér	FIN INF		Kérném törölni	a topikba írt 2327-es számú hsz-emet.
kér	FIN INF		Kérem csomagolni	.
kér	FIN INF		Kérném a lenti hozzászólásom törölni	.
kér	FIN INF		Kérném törölni	ezt a hozzászólást.
kér	FIN INF		Kérem ezt a pályázatomnál majd figyelembe venni	.
kér	FIN INF		Kérem a topikból a 15495 hozzászólásomat törölni	.
kér	FIN INF		Kérlek segítsetek gazdit találni	Leónak.
kér	FIN INF		Kérném szépen törölni	a képviselő úr nevét.
kér	FIN INF		Kérem a képviselő úr jelzését törölni	.
kér	FIN INF		Kérném törölni	a képviselő úr nevét.
kér	FIN INF		Kérem szépen ezt is a költségvetés értékelésénél figyelembe venni	.
kér	FIN INF		Kérem a nyilvántartás számára ezt számba venni	.
kér	FIN INF		Kérném a határozatképesség biztosítása kapcsán ezt figyelembe venni	.
kér	FIN INF		Kérem ezt revideálni	.
kér	FIN INF		Kérem a táblát törölni	: ismételten szavazni fogunk.
kér	FIN INF		Kérem ezt törölni	.
kér	FIN INF		Kérem a következőt szólítani	.
kér	FIN INF		Kérem törölni	.
kér	FIN INF		Kérem kapaszkodni	: Average Speed 176,90 %.
kér	FIN INF		Kérem a szavazatokat újra számolni	.
kér	FIN INF		Kérjük továbbítani	Kéthly Annának.
kér	FIN INF		Kérem tessék ezt tudomásul venni	és itt tessék az ilyen nyilatkozatoktól tartózkodni.
kér	FIN INF		Kértem rendelkezésre bocsátani	az esetlegesen előfordult ilyen ügyek adatait.
kér	FIN INF		Kérem annak tekinteni	.
kér	FIN INF		Kérem a 003-as számon kiadott dokumentumot és a 027-es dokumentumot az előterjesztés részeként kezelni	.
kér	FIN INF		Kérem figyelembe venni	az idő múlását.
kér	FIN INF		Kérem szépen a gépet indítani	.
kér	FIN INF		Kérem ezt mérlegelni	.
kér	FIN INF		Kérem ezt figyelembe venni	.
kér	FIN INF		Kérem figyelembe venni	.
kér	FIN INF		Kérem szépen a gépet indítani	...
kér	FIN INF		Kérem az előterjesztés részének tekinteni	.
kér	FIN INF		Kérem szépen a gépet indítani	.
kér	FIN INF		Kérem szépen ezt tiszteletben tartani	.
kér	FIN INF		Kérem szépen a gépet indítani	.
kér	FIN INF		Kérem szépen a gépet indítani	.
kér	FIN INF		Kérem a gépet indítani	...
kér	FIN INF		Kérem szépen a gépet indítani	.
kér	FIN INF		Kérem a gépet indítani	.
kér	FIN INF		Kérem akkor szavazni	az előző határozati javaslatokról...
kér	FIN INF		Kérem a gépet indítani	...
kér	FIN INF		Kérjük napirendre venni	.
kér	FIN INF		Kérném a jegyzőkönyvben rögzíteni	.
kér	FIN INF		Kérem a gépet indítani	.
kér	FIN INF		Kérem ezt így tudomásul venni	.
kér	FIN INF		Kérem a gépet indítani	.
kér	FIN INF		Kérem szépen a gépet indítani	: a vita újbóli megnyitásáról szavazunk.
kér	FIN INF		Kérem szépen indítani	a gépet.
kér	FIN INF		Kérem a gépet indítani	.
kér	FIN INF		Kérem az előterjesztést ezzel a kiegészítéssel együtt kezelni	.
kér	FIN INF		Kérem a gépet indítani	.
kér	FIN INF		Kérem a gépet indítani	.
kér	FIN INF		Kérem a gépet indítani	.
kér	FIN INF		Kérem szépen a tárgyra térni	.
kér	FIN INF		Kérem a gépet indítani	.
kér	FIN INF		Kérném szépen indítani	a gépet.
kér	FIN INF		Kérem a gépet indítani	.
kér	FIN INF		Kérem a gépet indítani	.
kér	FIN INF		Kérem a gépet indítani	.
kér	FIN INF		Kérem a gépet indítani	.
kér	FIN INF		Kérem ennek figyelembevételével tárgyalni	a szerződést.
kér	FIN INF		Kérném a gépet indítani	.
kér	FIN INF		Kérem ennek figyelembevételével tárgyalni	.
kér	FIN INF		Kérném szépen a gépet indítani	.
kér	FIN INF		Kérem szépen a gépet indítani	.
kér	FIN INF		Kérném szépen a gépet indítani	.
kér	FIN INF		Kérem napirendre venni	.
kér	FIN INF		Kérem ilyen szempontból mérlegelni	ezt a személyi javaslatot.
kér	FIN INF		Kérem ezt törölni	.
kér	FIN INF		Kérem támogatni	.
kér	FIN INF		Kérem ezt az előterjesztés részeként kezelni	.
kér	FIN INF		Kérem ezzel együtt kezelni	az előterjesztett rendelet-tervezetet.
kér	FIN INF		Kérem nullára állítani	az órát.
kér	FIN INF		Kérem ezt is figyelembe venni	.
kér	FIN INF		Kérem ezt figyelembe venni	.
kér	FIN INF		Kérem azt is figyelembe venni	.
kér	FIN INF		Kérem ezért azt támogatni	.
kér	FIN INF		Kérem ezt figyelembe venni	.
kér	FIN INF		Kérem törölni	az eredményt a tábláról.
kér	FIN INF		Kérem az élelmezést és a sebesültek ellátását biztosítani	.
kér	INF FIN		Enni kérsz	.
kér	INF FIN		Enni kér	!...
kér	INF FIN		Enni kér	!...
kér	INF FIN		Enni kértek	.
kér	INF FIN		Enni kért	.
kér	INF FIN		Inni kértem	.
kér	INF FIN		Enni kértek	és szállást.
kér	INF FIN		Inni kért	.
kér	INF FIN		Inni kért	.
kér	INF FIN		Érdeklődni privátban kérem	.
kér	INF FIN		Kérni a maga tőről metszetten populista jövőképéhez egyvalamit kért	csak: 800 nap türelmet.
kér	INF FIN		Inni kér	.
jön	inf_form		Muszáj Pestre jönni	.
jön	inf_form	-	Kezdenek ám nyomára jönni	az atom robbanásának.
jön	inf_form	-	Kezdett zavarba jönni	a kisasszony.
jön	inf_form		Mindenféle ócska világháborúkkal jönni	...
jön	inf_form		Jönniök kell	.
jön	inf_form		Jönni kell	a napnak mikor a szüzek ismét magukra ébrednek mikor az özvegyek súlyos gyászruhájukat színes kartonnal cserélik fel.
jön	inf_form		Szeretnének megijedni és dühbe jönni	.
jön	inf_form		Szeretnének megijedni és dühbe jönni	.
jön	inf_form		Kezdesz formába jönni	.
jön	inf_form		Érdemes volt korábban jönni	.
jön	inf_form		Szokott egy taxi is jönni	.
jön	inf_form		Kell is jönnie	.
jön	inf_form		Nincs minek rendbe jönnie	.
jön	inf_form		Vélem kell jönnöd	.
jön	inf_form	-	Jönnie kell	.
jön	inf_form		Jönnie kell	magának a teljes életműnek is.
jön	inf_form		Jönnie kell	édesanyádnak.
jön	inf_form		Jönni fog	.
jön	inf_form		Jönnie kell	ezentúl is.
jön	inf_form	-	Kezd lendületbe jönni	ez a változat.
jön	inf_form		Szarok jönni	vasárnap.
jön	inf_form		Szokott így jönni	Esztihez.
jön	inf_form		Igyexek rendbe jönni	.
jön	inf_form		Kezd ez is divatba jönni	.
jön	inf_form		Érdemes volt jönnöd	.
jön	inf_form		Lehet később is jönni	.
jön	inf_form		Jönnie kell	majd érte az új és új valakiknek Engem ringat a víz.
jön	inf_form		Lehet jönni	rizseshús van meg savi ubi.
jön	inf_form		Jönni fa	.
jön	inf_form		Jönni szalagkorlát	.
jön	inf_form		Lehet jönni	azoknak akik egy kis késztetést éreznek a bmx iránt.
jön	inf_form		Lehet jönni	.
jön	inf_form		Fog jönni	.
jön	inf_form		Kezdtem zavarba jönni	.
jön	inf_form		Jönni fog	.
jön	inf_form		Igyekszem pótolni és jönni	.
jön	inf_form		Kezd helyre jönni	minden...
jön	inf_form		Elkezd felém jönni	és én is felé veszem az irányt.
jön	inf_form		Lehetett jönni	.
jön	inf_form		Lehet jönni	csevegni.
jön	inf_form		Érdemes inkább gyalog jönni	a Margit-hídtól a Bringo várhoz.
jön	inf_form		Jönni fog	.
jön	inf_form		Lehet jönni	a további tippekkel.
jön	inf_form		Kezdtek jönni	a vendégek.
jön	inf_form		Célszerűbb autóbusszal jönni	.
jön	inf_form		Kezd divatba jönni	az emberarcú kapitalizmus és a nemzetközi szolidaritás eszménye.
jön	inf_form		Jönni fa	.
jön	inf_form		Jönni szalagkorlát	.
jön	inf_form		Jönni fa	.
jön	inf_form		Jönni szalagkorlát	.
jön	inf_form		Akart jönni	.
jön	inf_form		Kezdenek jönni	az eredmények a texasi jelölőgyűlésekről.
jön	inf_form		Jönni fog	a metró kedden Forradalomtól félnek a buszsofőrök Átlagosan 16 ezer forintos béremelést kaphatnak idén a BKV dolgozói.
jön	inf_form		Kell is jönnie	.
jön	inf_form		Jönnöm kellett	megint.
jön	inf_form		Jönni fog	még egy Kippur napja én Istenem.
jön	inf_form		Jönni fog	még egy Kippur-napja én Istenem.
jön	inf_form		Szeretnek jönni	.
jön	inf_form		Elkezdenek jönni	a tünetek.
jön	inf_form		Szokott volt jönni	Ferihegyre és vitte vissza az embereket.
jön	inf_form		Lehet gyorsan jönni	.
jön	inf_form		Nehéz a munkába jönni	.
jön	inf_form		Fognak jönni	a szolnokiak és magyar népdalokat fog énekelni a két együttes.
jön	inf_form		Muszáj lesz busszal jönni	akkor.
jön	inf_form		Muszáj volt most jönnünk	.
jön	inf_form		Vogul: jinkwe = jönni	.
jön	inf_form		Zürjén: lokni = jönni	.
jön	FIN INF		Jöttek a pásztorok karácsonyt köszönteni	.
jön	FIN INF		Jöttek tanúskodni	: “ Itt vagyunk mi is.
jön	FIN INF		Jöttek tanúskodni	: “ Itt vagyunk mi is.
jön	FIN INF	-	Jönnek a barátaim kártyázni	.
jön	FIN INF		Jön látogatni	az art expert a Tate Galleryből és jelenti ki: “ 225 másolatot készítettek ebből.
jön	FIN INF		Jön ide egy másik lány lakni	...
jön	FIN INF		Jön sétálni	?...
jön	FIN INF		Jött ide két testvér nádazni	.
jön	FIN INF		Jött fényes délben megint fürdeni	Világi Szép Örzsébet tizenketted magával.
jön	FIN INF		Jöttek búcsúzni	.
jön	FIN INF		Jön -e velem nagysád shimmyt járni	...
jön	FIN INF		Jött segíteni	.
jön	FIN INF		Jöhetnek az enyves hátamra szántani	.
jön	FIN INF		Jött Krisztina B.-t köszönteni	születésnapján.
jön	FIN INF		Jött Erzsike takarítani	.
jön	FIN INF		Jön a sajtó szaglászni	.
jön	FIN INF		Jön apa szemetelni	.
jön	FIN INF		Jött Gedeon napját ünnepelni	.
jön	FIN INF	-	Jöhettek edzeni	!...
jön	FIN INF		Jött hivatalosan konstatálni	a zsidólakások kiürítését.
jön	FIN INF		Jöttem sarat dobálni	.
jön	FIN INF		Jöttem közeledni	.
jön	FIN INF		Jön a paraszt motozni	..
jön	FIN INF		Jösztök ti még könyörögni	...
jön	FIN INF		Jövök már egy kicsit szítani	.
jön	FIN INF		Jöttem vitatkozni	...
jön	FIN INF		Jövök repzongni	.
jön	FIN INF		Jöttem javítani	az arányokat.
jön	FIN INF		Jöttem köszönteni	az ünnepelteket.
jön	FIN INF		Jönnek majd biztosítani	...
jön	FIN INF		Jössz velünk lovagolni	.
jön	FIN INF		Jött F1-et nézni	: D Kisara.
jön	FIN INF		Jöttök ide menőzni	már..
jön	FIN INF		Jöhet az újabb szmájli	.
jön	FIN INF		Jöhet ide is privi	.
jön	FIN INF		Jöhet privi	is vagy face.
jön	FIN INF		Jössz Te még CODozni	.
jön	FIN INF		Jöttünk szórakoztatni	.
jön	FIN INF		Jöttem egy kicsit Zaklatni	:-)).
jön	FIN INF		Jöhetett a pucolás: kézzel tépkedni	a tollakat.
jön	FIN INF		Jöhetett volna fát hasogatni	.....
jön	FIN INF		Jön a mentelmi jogot igazoló flekni	.
jön	FIN INF		Jöhettek játszani	.
jön	FIN INF		Jön a tőke államosítani	.
jön	FIN INF		Jött segíteni	.
jön	FIN INF		Jövök megint hirdetni	.
jön	FIN INF		Jöhetnek díjbeszedni	.
jön	FIN INF		Jöhetnek a koszovói albánok Lakitelekre hozsannázni	.
jön	FIN INF		Jöttek az ellenfelek és birkózni	kellett.
jön	FIN INF		Jönnek vásárolni	képeket és rendelnek is.
jön	FIN INF		JÖnnek máshonnan is segíteni	ha kell.
jön	FIN INF		Jöttem itt értetlenkedni	.
jön	FIN INF		Jöttem itt értetlenkedni	.
jön	FIN INF		Jött chekkolni	szokása szerint.
jön	FIN INF		Jött akkor Dezső veszekedni	velem.
jön	FIN INF		Jöttek nekem a nagy emberek gratulálni	.
jön	INF FIN		Kémkedni jött	.
jön	INF FIN		Felvételizni jöttem	a pedagógiai főiskolára.
jön	INF FIN	-	Beszélgetni jöttem	.
jön	INF FIN		Búcsúzni jöttek	.
jön	INF FIN		Elbúcsúzni jöttem	.
jön	INF FIN		Mulatozni jöttél	ide?...
jön	INF FIN		Búcsúzni jöttünk	.
jön	INF FIN		Búcsúzni jönnek	.
jön	INF FIN		Tisztelegni jönnek	.
jön	INF FIN	-	Aludni jöttél	.
jön	INF FIN	-	Dolgozni jött	.
jön	INF FIN	-	Dolgozni jött	.
jön	INF FIN		Dolgozni jöttem	.
jön	INF FIN	-	Tájékozódni jöttem	és rokonlátogatóba.
jön	INF FIN	-	Vizsgázni jöttem	.
jön	INF FIN		Érdeklődni jöttünk	.
jön	INF FIN		Élni jöttem	.
jön	INF FIN		Megnézni jött	a pesti vendéget.
jön	INF FIN		Pihenni jöttem	.
jön	INF FIN	-	Nyomozni jött	.
jön	INF FIN		Búcsúzni jöttem	.
jön	INF FIN		Gratulálni jöttem	.
jön	INF FIN		Csodálni jöttem	ezt a gyönyörűen rendbe hozott színházat.
jön	INF FIN		Nyaralni jött	hozzánk.
jön	INF FIN		Búcsúzni jöttem	magam is.
jön	INF FIN		Búcsúzni jöttem	.
jön	INF FIN		Szavazni ők is velünk jöttek	.
jön	INF FIN		Kacagnom jön	.
jön	INF FIN		Elbúcsúzni jöttem	.
jön	INF FIN		Széjjecsapni jöttem	.
jön	INF FIN		Szeretni jöttünk	széles e világra.
jön	INF FIN		Tudnia honnan jött	és hová tart.
jön	INF FIN		Pihenni jöttem	és csak magamért.
jön	INF FIN		Ünnepelni is jöttünk	ma este.
jön	INF FIN		Lopni jön	a homály.
jön	INF FIN		Meghalni jöttem	én a szavam már semmit ér.
jön	INF FIN		Meghalni jöttem	én az égbe szállok fel.
jön	INF FIN		Meghalni jöttem	én a szavam már semmit ér.
jön	INF FIN		Meghalni jöttem	én az angyalok várnak fent.
jön	INF FIN		Termelni jöttünk	ide.
jön	INF FIN	-	Győzni jöttünk	Magyarországra.
jön	INF FIN		Rekvirálni jött	hozzánk.
jön	INF FIN		Provokálni jöttem	és ti vevvők vagytok erre.
jön	INF FIN		Nézelődni szülők is jöhetnek	.
jön	INF FIN		Inni jöhettek	.
jön	INF FIN		Konzultálni jött	.
jön	INF FIN		Konzultálni jöttünk	.
jön	INF FIN	“	Győzni jöttem	Magyarországra.
jön	INF FIN		Búcsúzni jönnek	a Buena Vista Social Club öregjei Csütörtökön este a Papp László Sportarénában fellép a kubai Buena Vista Social Club.
jön	INF FIN	-	Ellenőrizni jöttem	.
jön	INF FIN		Tanúskodni jöttem	.
jön	INF FIN		Kirándulni jöttünk	különben most reggel.
jön	INF FIN		Vásárolni jövök	csak.
jön	INF FIN	“	Fizetni jöttünk	.
jön	INF FIN		Kirándulni jöttünk	.
jön	INF FIN		Elköszönni jöttek	ezek az emberek.
jön	INF FIN		Tanulni jöttek	a Kárpát-medencébe hogy tengerentúl taníthassanak.
jön	INF FIN		Gratulálni jöttem	.
jön	INF FIN		Hozsannázni jöttem	ezt a törvényt.
szabad	inf_form		Szabadni szabad	.
szabad	inf_form		Szerettek szabadnak lenni	.
szabad	FIN INF	-	Szabad volt -e hazudni	szegénykének?...
szabad	FIN INF		Szabad lesz egy kicsit lejjebb hajtani	a fejét.
szabad	FIN INF		Szabad lesz egy kicsit lejjebb hajtani	a fejét.
szabad	FIN INF		Szabad kérnem	?...
szabad	FIN INF		Szabad szemmel lehetett látni	.
szabad	FIN INF		Szabad egy-két kacsát is tartani	.
szabad	FIN INF		Szabad bármit mondani	.
szabad	FIN INF		Szabad lazítani	is.
szabad	FIN INF		Szabad lenne engem néven nevezni	.
szabad	FIN INF		Szabad gyarlónak lenni	.
szabad	FIN INF		Szabad lenne engem néven nevezni	.
